State,year_low,SV_range_low,SV_predom_low,SV_%_low,RV_range_low,RV_predom_low,RV_%_low,year_current,SV_range_current,SV_predom_current,SV_%_current,RV_range_current,RV_predom_current,RV_%_current,Peak_Sale,Peak_Sale%,Peak_Rental,Peak_Rental_%,occup_Land,occup_dwell,occup_home,sales_a,sales_b,sales_c,rental_a,rental_b,rental_c,const_types,const_amount,home_pur,home_build,Ten_Fifteen_Desirability,Remarks,inform,Date
Connecticut,1935,20M-50M,35M,60%,NOT A RENTAL AREA,NOT A RENTAL AREA,NOT A RENTAL AREA,1937,20M-50M,35M,60%,NA,NA,NA,1929,100,NA,NA,70,100,100,Almost none,NA,Almost none,NA,NA,NA,Large singles,12,Ample,Ample,Stable,"This is an exceptionally fine residential area containing nothing but large, expensive homes on extensive plots. The latter are well landscaped and there is a distinct pride of ownership in evidence. Mortgage lenders favor this area because of the stability of the owners, but the market for such propoerties is almost nil.",See Explanations,October 15th 1937
Connecticut,1935,$6M-$15M,$10M,NA,NOT A RENTAL AREA,NOT A RENTAL AREA,NOT A RENTAL AREA,1937,6M-15M,10M,NA,NA,NA,NA,1935,100%,NA,NA,30,95,95,Fair,Sgls $8M-$10M,Fair,NA,NA,NA,Medium singles,12,Ample,Ample,Stable,"This is a new, speculative development of moderately sized homes and lots, of which the only vacancies are those remaining unsold. Architecture is very pleasing and pride of ownership is excellent. Vacant hillside land separates this form less desirable area to the southwest. There is competition among lenders to place money in this location.",,
Connecticut,1935,5M-25M,14M,70%,37.5-150,70,70%,1937,5M-25M,14M,70%,40--150,75,75%,1929,100%,1929,100%,65%,98%,85%,Poor,sgls $5M-$8M,Poor,Good,Sgls $40-$50,Good,Samll Singles,12,Ample,Ample,Stable,"This is a very desirable, residential section. Whereas some are of fair size the majority of homes are both modest and modern. Plots, in proportion to dwellings, are well landscaped and cared for. Larger homes almost never appear in the rental market. It is considered to be a good area for mortage money",See Explanations,October 15th 1937
Connecticut,1935,20M-50M,35M,60%,NOT A RENTAL AREA,NOT A RENTAL AREA,NOT A RENTAL AREA,1937,20M-50M,35M,60%,NA,NA,NA,1929,100%,NA,NA,70,100,100,Almost none,NA,Almost none,NA,NA,NA,Large Singles,12,Ample,Ample,Stable,"This is an Exceptionally fine residential area containing nothing but large, expensive homes on extensive plots. The latter are well landscaped and there is a distinct pride of ownership in evidence. Mortgage lenders favor this area because of the stability of the owners, but the market for such properties is almost nil.",See Explanations,October 15th 1937
Connecticut,1935,5M-25M,14M,70%,37.5-150,70,70%,1937,5M-25M,14M,70%,40-150,75,75%,1929,100,1929,100,65,98,85,poor,sgls $5M-$8M,Poor,Good,Sgls $40-$50,Good,Small singles,12,Ample,Ample,Stable,"This is a very desirable, residential section. Whereas some are of fair size the majority of homes are both modest and modern. Plots, in proportion to dwellings, are well landscaped and cared for. Larger homes almost never appear in the rental market. It is considered to be a good area for mortgage money.",See Explanations,October 15th 1937
Florida,1932-1933,No Sales,NA,,very few rentals,NA,NA,1937,"12,000 - 50,000","16,000",40,very few rentals,na,na,1925-1926,200,1925-1926,250,20,100,98,fair,"2-story $12,000 - $20,000 singles",fair,Good,Average $75 per mo. On annual basis in 1 apt house; (14 units),Good,"$12,000-$25,000 singles","$120,000 (about 6)",Ample,Ample,Upward,"About 25 houses in the area. Immediately adjoining this area east is another about the same size consisting of artificially made land which has been landscaped, streets paved, and is repe for future park development. Good residential area although at the present time no houses have been erected","Mr. H. L. Hope, President of Thora and Hope., HOLC Contract Brokers; John B. Green, President of John B. Green, Inc., Realtors and personal inspection by Field Agent",########
Florida,1932-1933,"$6,500-$12,500","$6,500",33,very few rentals,NA,NA,1937,"6,500 - 15,000","8,500",43,very few rentals,na,na,1925-1926,200,1925-1926,250,75,10,98,Fair,2-sty $7500 singles,fair,Practically no rentals in this area,na,na,"hollow tile singles ($8000 - $15,000)","$50,000 (about 6)",Ample,Ample,Upward,"About 100 houses in this section. Wide range of family income in the area is due to the fact that quite a few wealthy families live in the area; some of these families are local people, while others are out of State residents who own homes in the area and occumpy same during the winter season","Mr. H. L. Hope, President of Thora and Hope., HOLC Contract Brokers; John B. Green, President of John B. Green, Inc., Realtors and personal inspection by Field Agent",########
Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,32-'33,"6,000 - 25,000","9,000",72,35 to 90,52.5,91,NA,"7,500 - 35,000","11,000",88,40 to 100,50,92,28-'29,100,28-'29,100,60,100,98,Fair,"$10,000 singles",Fair,Very good,$60 par M singles,Very good,"$12,500 singles","$150,000 (about 10)",Ample,Ample,Upward,"A-1 is exclusive residential section. A-1 contains about 15 houses, A-2 about 5, A-3 about 10, and A-4 about 10 making a total of approximately 40 houses in these four areas. In A-4 on the south side of Edgewood Drive, between Benning Boulevard and Brookwood Avenue, are located one or two properties whose repair condition entitles them to C grade rating.","Mr. H. Land, of Land Realty Company, and Mr. Henry F. Boyce, of Boyce Realty Company, who is also president of Columbus Real Estate Board",########
Georgia,32-'33,"6,000 - 25,000","9,000",72,35 to 90,52.5,91,NA,"7,500 - 35,000","11,000",88,40 to 100,50,92,28-'29,100,28-'29,100,60,100,98,Fair,"$10,000 singles",Fair,Very good,$60 par M singles,Very good,"$12,500 singles","$150,000 (about 10)",Ample,Ample,Upward,"A-1 is exclusive residential section. A-1 contains about 15 houses, A-2 about 5, A-3 about 10, and A-4 about 10 making a total of approximately 40 houses in these four areas. In A-4 on the south side of Edgewood Drive, between Benning Boulevard and Brookwood Avenue, are located one or two properties whose repair condition entitles them to C grade rating.","Mr. H. Land, of Land Realty Company, and Mr. Henry F. Boyce, of Boyce Realty Company, who is also president of Columbus Real Estate Board",########
